0
ï»¿0
"Ã¯Â»Â¿Player,Conference,Receiving School,Transferring School,Position"
"Amari Gainer,ACC,NorthÃ‚Â Carolina,Florida State,LB"
"Alijah Huzzie,ACC,NorthÃ‚Â Carolina,East Tennessee State,DB"
"Armani Chatman,ACC,NorthÃ‚Â Carolina,Virginia Tech,CB"
"Derrik Allen,ACC,NorthÃ‚Â Carolina,Georgia Tech,S"
"Antavious Lane,ACC,NorthÃ‚Â Carolina,Georgia State,S"
"Ryan Coe,ACC,NorthÃ‚Â Carolina,Cincinnati,K"
"Brennan Armstrong,ACC,NCÃ‚Â State,Virginia,QB"
"Bradley Rozner,ACC,NCÃ‚Â State,Rice,WR"
"Dacari Collins,ACC,NCÃ‚Â State,Clemson,WR"
"Dawson Jaramillo,ACC,NCÃ‚Â State,Oregon,OL"
"Yousef Mugharbil,ACC,NCÃ‚Â State,Colorado,OL"
"Noah Potter,ACC,NCÃ‚Â State,Cincinnati,DL"
"Robert Kennedy III,ACC,NCÃ‚Â State,Old Dominion,DB"
"Brayden Narveson,ACC,NCÃ‚Â State,Western Kentucky,K"
"Phil Jurkovec,ACC,Pitt,Boston College,QB"
"Christian Veilleux,ACC,Pitt,Penn State,QB"
"Daejon Reynolds,ACC,Pitt,Florida,WR"
"Malcolm Epps,ACC,Pitt,USC,TE"
"Jackson Brown,ACC,Pitt,California,OL"
"Todd Hill,ACC,Pitt,Duquesne,LB"
"Donovan McMillon,ACC,Pitt,Florida,S"
"Derrick Davis,ACC,Pitt,LSU,DB/RB"
"Jeff Yurk,ACC,Pitt,Elon,P"
"Braden Davis,ACC,Syracuse,South Carolina,QB"
"Joe More,ACC,Syracuse,Richmond,OL"
"David Wohlabaugh,ACC,Syracuse,Kentucky,OL"
"Braylen Ingraham,ACC,Syracuse,Alabama,DL"
"Khalib Gilmore,ACC,Syracuse,West Florida,LB"
"Jayden Bellamy,ACC,Syracuse,Notre Dame,DB"
"Jaeden Gould,ACC,Syracuse,Nebraska,S"
"Myles Farmer,ACC,Syracuse,Nebraska,DB"
"Jack Stonehouse,ACC,Syracuse,Missouri,P"
"Tom Callahan,ACC,Syracuse,Fordham,LS"
"Tony Muskett,ACC,Virginia,Monmouth,QB"
"Kobe Pace,ACC,Virginia,Clemson,RB"
"Malik Washington,ACC,Virginia,Northwestern,WR"
"Ugonna Nnanna,ACC,Virginia,Houston,OL"
"Jimmy Christ,ACC,Virginia,Penn State,OL"
"Brian Stevens,ACC,Virginia,Dayton,OL"
"Malcolm Greene,ACC,Virginia,Clemson,DB"
"Tayvonn Kyle,ACC,Virginia,Iowa State,DB"
"Sam Westfall,ACC,Virginia,SMU,DB"
"Kyron Drones,ACC,Virginia Tech,Baylor,QB"
"Bhayshul Tuten,ACC,Virginia Tech,North Carolina A&T,RB"
"Ali Jennings,ACC,Virginia Tech,Old Dominion,WR"
"Da'Quan Felton,ACC,Virginia Tech,Norfolk State,WR"
"Jaylin Lane,ACC,Virginia Tech,Middle Tennessee,WR"
"Clayton Frady,ACC,Virginia Tech,Gardner-Webb,OL"
"Antwaun Powell-Ryland,ACC,Virginia Tech,Florida,DL"
"Derrick Canteen,ACC,Virginia Tech,Georgia Southern,DB"
"Walker Merrill,ACC,Wake Forest,Tennessee,WR"
"Bryce Ganious,ACC,Wake Forest,Villanova,DL"
"Nick Helbig,ACC,Wake Forest,Wesleyan,DL"
"Jacob Roberts,ACC,Wake Forest,North Carolina A&T,LB"
"Demarcus Rankin,ACC,Wake Forest,Notre Dame College,DB"
"Sawyer Robertson,Big 12,Baylor,Mississippi State,QB"
"RJ Martinez,Big 12,Baylor,Northern Arizona,QB"
"Dominic Richardson,Big 12,Baylor,Oklahoma State,RB"
"Ketron Jackson,Big 12,Baylor,Arkansas,WR"
"Jake Roberts,Big 12,Baylor,North Texas,TE"
"Clark Barrington,Big 12,Baylor,BYU,OL"
"Campbell Barrington,Big 12,Baylor,BYU,OL"
"Byron Vaughns,Big 12,Baylor,Utah State,DL"
"Treven Ma'ae,Big 12,Baylor,Oregon,DL"
