Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,51.68083953857422,52.26612854003906,50.927284240722656,51.22724151611328,29.366575241088867,2307518
2010-01-05,51.263824462890625,51.263824462890625,50.23225402832031,50.83949279785156,29.144289016723633,2752017
2010-01-06,50.90533447265625,51.35893249511719,50.276153564453125,50.634639739990234,29.026859283447266,2105087
2010-01-07,50.48100280761719,52.01737976074219,50.188358306884766,51.41746139526367,29.475622177124023,2492179
2010-01-08,51.00775909423828,51.23455810546875,50.36394500732422,50.846805572509766,29.148481369018555,1730023
2010-01-11,51.044342041015625,51.31503677368164,50.59074401855469,51.00775909423828,29.240753173828125,1449682
2010-01-12,50.64927291870117,51.00044631958008,49.749393463134766,50.305416107177734,28.8381290435791,2121216
2010-01-13,50.47368621826172,51.64426040649414,50.15177917480469,51.54915237426758,29.551111221313477,2809835
2010-01-14,51.380882263183594,51.86374282836914,51.13213348388672,51.76131820678711,29.672746658325195,2268972
2010-01-15,51.585731506347656,51.812530517578125,51.02239227294922,51.285770416259766,29.400115966796875,2863689
2010-01-19,51.31503677368164,51.98080062866211,51.0809211730957,51.710105895996094,29.64337730407715,3320491
2010-01-20,51.366249084472656,51.366249084472656,50.378578186035156,50.59074401855469,29.001691818237305,2609318
2010-01-21,50.612693786621094,50.934600830078125,48.59345245361328,48.651981353759766,27.890275955200195,3954163
2010-01-22,48.63734817504883,49.2153205871582,47.12291717529297,47.34239959716797,27.139543533325195,3469067
2010-01-25,48.110591888427734,48.110591888427734,46.815643310546875,47.48872375488281,27.223426818847656,3221257
2010-01-26,46.822959899902344,47.700889587402344,46.64005661010742,46.947330474853516,27.185298919677734,2659072
2010-01-27,46.786376953125,47.700889587402344,46.19377517700195,47.62041091918945,27.5750675201416,2940096
2010-01-28,47.905738830566406,48.022796630859375,47.01317596435547,47.3277702331543,27.405603408813477,2597973
2010-01-29,47.53261947631836,48.26422882080078,47.01317596435547,47.32045364379883,27.401357650756836,3825815
2010-02-01,47.67893981933594,48.330074310302734,47.583831787109375,48.330074310302734,27.985990524291992,3043293
2010-02-02,48.48371124267578,49.03241729736328,47.83258056640625,48.92267608642578,28.329147338867188,3185856
2010-02-03,48.60076904296875,48.61539840698242,47.64236068725586,47.94232177734375,27.76144790649414,2344423
2010-02-04,47.64236068725586,47.803314208984375,46.12061309814453,46.186458587646484,26.744712829589844,4845896
2010-02-05,46.33278274536133,47.335086822509766,45.54996109008789,47.02049255371094,27.227657318115234,4194045
2010-02-08,46.90343475341797,47.53261947631836,45.87186813354492,45.99624252319336,26.634557723999023,2840589
2010-02-09,46.5595817565918,46.85953903198242,45.34510803222656,46.09866714477539,26.69386863708496,3291103
2010-02-10,46.03282165527344,46.603477478027344,45.18415451049805,45.91576385498047,26.587955474853516,3038783
2010-02-11,45.857234954833984,46.08403396606445,45.271949768066406,45.718231201171875,26.473587036132812,3228228
2010-02-12,45.24268341064453,46.00355529785156,44.81103515625,45.87186813354492,26.562536239624023,3342634
2010-02-16,46.20840835571289,47.174129486083984,45.966976165771484,47.13023376464844,27.291213989257812,3627759
2010-02-17,47.51066970825195,47.51066970825195,46.19377517700195,46.705902099609375,27.045494079589844,3262946
2010-02-18,46.588844299316406,47.64967727661133,46.296199798583984,47.43019485473633,27.464902877807617,2513092
2010-02-19,47.20339584350586,48.27885818481445,46.91075134277344,48.00816345214844,27.79958724975586,2870387
2010-02-22,48.234962463378906,48.38859939575195,47.83258056640625,48.052059173583984,27.825000762939453,2155660
2010-02-23,47.225345611572266,48.030113220214844,47.18144607543945,47.23997497558594,27.35476303100586,2368206
2010-02-24,47.62041091918945,48.022796630859375,47.042442321777344,47.78136444091797,27.66824722290039,2223456
2010-02-25,47.261924743652344,48.103275299072266,47.035125732421875,48.05937957763672,27.82923698425293,1689428
2010-02-26,48.030113220214844,48.59345245361328,47.45214080810547,48.08132553100586,27.841955184936523,3436810
2010-03-01,48.27885818481445,48.85683059692383,48.00816345214844,48.4251823425293,28.041059494018555,1730160
2010-03-02,48.63734817504883,49.017784118652344,48.41786575317383,48.542240142822266,28.108854293823242,1814768
2010-03-03,48.659297943115234,49.017784118652344,48.249595642089844,48.61539840698242,28.151208877563477,1557527
2010-03-04,48.60076904296875,49.237266540527344,48.49102783203125,49.112892150878906,28.439294815063477,1991638
2010-03-05,49.36895751953125,50.78096389770508,49.16410827636719,50.67122268676758,29.34165382385254,2285238
