Rk,Year,Conf,OverallW,OverallL,OverallT,OverallPct,ConferenceW,ConferenceL,ConferenceT,ConferencePct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
48,1975,Big 8,11,1,0,0.917,6,1,0,0.857,24.15,11.32,1,1,1,Barry Switzer (11-1),Orange Bowl-W,
49,1974,Big 8,11,0,0,1,7,0,0,1,27.8,7.43,1,1,1,Barry Switzer (11-0),,
50,1973,Big 8,10,0,1,0.955,7,0,0,1,32.87,13.23,11,2,3,Barry Switzer (10-0-1),,
51,1972,Big 8,11,1,0,0.917,6,1,0,0.857,26.74,9.57,6,2,2,Chuck Fairbanks (11-1),Sugar Bowl-W,
52,1971,Big 8,11,1,0,0.917,6,1,0,0.857,29.24,10.07,10,2,2,Chuck Fairbanks (11-1),Sugar Bowl-W,
53,1970,Big 8,7,4,1,0.625,5,2,0,0.714,16.98,13.23,20,14,20,Chuck Fairbanks (7-4-1),Bluebonnet Bowl-T,
54,1969,Big 8,6,4,0,0.6,4,3,0,0.571,13.42,11.02,6,6,,Chuck Fairbanks (6-4),,
55,1968,Big 8,7,4,0,0.636,6,1,0,0.857,18.07,11.71,4,4,11,Chuck Fairbanks (7-4),Bluebonnet Bowl-L,
56,1967,Big 8,10,1,0,0.909,7,0,0,1,17.16,2.53,,3,3,Chuck Fairbanks (10-1),Orange Bowl-W,
57,1966,Big 8,6,4,0,0.6,4,3,0,0.571,9.42,3.62,,10,,Jim MacKenzie (6-4),,
58,1965,Big 8,3,7,0,0.3,3,4,0,0.429,-1.54,3.16,,,,Gomer Jones (3-7),,
59,1964,Big 8,6,4,1,0.591,5,1,1,0.786,9.01,7.83,2,2,,Gomer Jones (6-4-1),Gator Bowl-L,
60,1963,Big 8,8,2,0,0.8,6,1,0,0.857,15.68,6.38,4,1,10,Bud Wilkinson (8-2),,
61,1962,Big 8,8,3,0,0.727,7,0,0,1,16.82,6.27,,8,8,Bud Wilkinson (8-3),Orange Bowl-L,
62,1961,Big 8,5,5,0,0.5,4,3,0,0.571,5.87,7.77,,,,Bud Wilkinson (5-5),,
63,1960,Big 8,3,6,1,0.35,2,4,1,0.357,5.9,10,10,10,,Bud Wilkinson (3-6-1),,
64,1959,Big 7,7,3,0,0.7,5,1,0,0.833,14.63,6.53,2,2,15,Bud Wilkinson (7-3),,
65,1958,Big 7,10,1,0,0.909,6,0,0,1,19.77,3.59,2,1,5,Bud Wilkinson (10-1),Orange Bowl-W,
66,1957,Big 7,10,1,0,0.909,6,0,0,1,21.42,3.69,1,1,4,Bud Wilkinson (10-1),Orange Bowl-W,
67,1956,Big 7,10,0,0,1,6,0,0,1,21.08,-1.12,1,1,1,Bud Wilkinson (10-0),,
68,1955,Big 7,11,0,0,1,6,0,0,1,21.62,1.89,2,1,1,Bud Wilkinson (11-0),Orange Bowl-W,
69,1954,Big 7,10,0,0,1,6,0,0,1,19.59,3.29,2,1,3,Bud Wilkinson (10-0),,
70,1953,Big 7,9,1,1,0.864,6,0,0,1,20.92,8.19,6,4,4,Bud Wilkinson (9-1-1),Orange Bowl-W,
71,1952,Big 7,8,1,1,0.85,5,0,1,0.917,25.63,7.63,4,3,4,Bud Wilkinson (8-1-1),,
72,1951,Big 7,8,2,0,0.8,6,0,0,1,16.49,0.89,4,4,10,Bud Wilkinson (8-2),,
73,1950,Big 7,10,1,0,0.909,6,0,0,1,19.21,4.76,6,1,1,Bud Wilkinson (10-1),Sugar Bowl-L,
74,1949,Big 7,11,0,0,1,5,0,0,1,25.66,5.66,,2,2,Bud Wilkinson (11-0),Sugar Bowl-W,
75,1948,Big 7,10,1,0,0.909,5,0,0,1,19.53,4.44,,5,5,Bud Wilkinson (10-1),Sugar Bowl-W,
76,1947,Big 6,7,2,1,0.75,4,0,1,0.9,8.31,4.11,,15,16,Bud Wilkinson (7-2-1),,
77,1946,Big 6,8,3,0,0.727,4,1,0,0.8,13.23,2.5,,13,14,Jim Tatum (8-3),Gator Bowl-W,
78,1945,Big 6,5,5,0,0.5,4,1,0,0.8,2.51,-1.19,,14,,Snorter Luster (5-5),,
79,1944,Big 6,6,3,1,0.65,4,0,1,0.9,8.76,5.16,,,,Snorter Luster (6-3-1),,
80,1943,Big 6,7,2,0,0.778,5,0,0,1,2.15,-6.85,,,,Snorter Luster (7-2),,
81,1942,Big 6,3,5,2,0.4,3,1,1,0.7,1.07,0.67,,,,Snorter Luster (3-5-2),,
82,1941,Big 6,6,3,0,0.667,3,2,0,0.6,12.78,5.89,,,,Snorter Luster (6-3),,
83,1940,Big 6,6,3,0,0.667,4,1,0,0.8,7.22,4.89,,,,Tom Stidham (6-3),,
84,1939,Big 6,6,2,1,0.722,3,2,0,0.6,15.18,4.52,,3,19,Tom Stidham (6-2-1),,
85,1938,Big 6,10,1,0,0.909,5,0,0,1,16.32,2.14,,4,4,Tom Stidham (10-1),Orange Bowl-L,
86,1937,Big 6,5,2,2,0.667,3,1,1,0.7,6.96,0.96,,,,Tom Stidham (5-2-2),,
87,1936,Big 6,3,3,3,0.5,1,2,2,0.4,4.71,2.94,,,,Biff Jones (3-3-3),,
88,1935,Big 6,6,3,0,0.667,3,2,0,0.6,7.83,1.27,,,,Biff Jones (6-3),,
89,1934,Big 6,3,4,2,0.444,2,2,1,0.5,3.3,2.97,,,,Lewie Hardage (3-4-2),,
90,1933,Big 6,4,4,1,0.5,3,2,0,0.6,6.3,4.96,,,,Lewie Hardage (4-4-1),,
91,1932,Big 6,4,4,1,0.5,3,2,0,0.6,3.14,2.36,,,,Lewie Hardage (4-4-1),,
92,1931,Big 6,4,7,1,0.375,1,4,0,0.2,-4.48,-1.9,,,,Adrian Lindsey (4-7-1),,
93,1930,Big 6,4,3,1,0.563,3,1,1,0.7,3.06,0.43,,,,Adrian Lindsey (4-3-1),,
94,1929,Big 6,3,3,2,0.5,2,2,1,0.5,0.81,0.31,,,,Adrian Lindsey (3-3-2),,
