Rk,Year,Conf,OverallW,OverallL,OverallT,OverallPct,ConferenceW,ConferenceL,ConferenceT,ConferencePct,SRS,SOS,AP Pre,AP High,AP Post,Coach(es),Bowl,Notes
1,2022,Ind,0,2,,0,,,,,10.55,19.55,5,5,,Marcus Freeman (0-2),,
2,2021,Ind,11,2,0,0.846,,,,,16.31,3.85,9,5,8,"Brian Kelly (11-1), Marcus Freeman (0-1)",Fiesta Bowl-L,
3,2020,ACC,10,2,0,0.833,9,1,0,0.9,11.32,1.23,10,2,5,Brian Kelly (10-2),Rose Bowl-L,
4,2019,Ind,11,2,0,0.846,,,,,17.22,3.3,9,7,12,Brian Kelly (11-2),Camping World Bowl-W,
5,2018,Ind,12,1,0,0.923,,,,,17.4,5.17,12,3,5,Brian Kelly (12-1),Cotton Bowl-L,
6,2017,Ind,10,3,0,0.769,,,,,19.41,8.94,,3,11,Brian Kelly (10-3),Citrus Bowl-W,
7,2016,Ind,4,8,0,0.333,,,,,4.27,3.94,10,10,,Brian Kelly (4-8),,
8,2015,Ind,10,3,0,0.769,,,,,,6.1,11,4,11,Brian Kelly (10-3),Fiesta Bowl-L,
9,2014,Ind,8,5,0,0.615,,,,,8.56,5.33,17,5,,Brian Kelly (8-5),Music City Bowl-W,
10,2013,Ind,9,4,0,0.692,,,,,9.5,4.5,14,14,20,Brian Kelly (9-4),Pinstripe Bowl-W,record adjusted to 0-4-0 by NCAA
11,2012,Ind,12,1,0,0.923,,,,,16.98,6.14,,1,4,Brian Kelly (12-1),BCS Championship-L,record adjusted to 0-1-0 by NCAA
12,2011,Ind,8,5,0,0.615,,,,,11.06,4.44,16,16,,Brian Kelly (8-5),Champs Sports Bowl-L,
13,2010,Ind,8,5,0,0.615,,,,,10.35,5.04,,,,Brian Kelly (8-5),Sun Bowl-W,
14,2009,Ind,6,6,0,0.5,,,,,6.49,3.65,23,18,,Charlie Weis (6-6),,
15,2008,Ind,7,6,0,0.538,,,,,2.99,0.91,,,,Charlie Weis (7-6),Hawaii Bowl-W,
16,2007,Ind,3,9,0,0.25,,,,,-5.03,4.89,,,,Charlie Weis (3-9),,
17,2006,Ind,10,3,0,0.769,,,,,11.32,3.56,2,2,17,Charlie Weis (10-3),Sugar Bowl-L,
18,2005,Ind,9,3,0,0.75,,,,,17.46,6.13,,5,9,Charlie Weis (9-3),Fiesta Bowl-L,
19,2004,Ind,6,6,0,0.5,,,,,6.22,7.39,,24,,"Tyrone Willingham (6-5), Kent Baer (0-1)",Insight Bowl-L,
20,2003,Ind,5,7,0,0.417,,,,,3.12,8.04,20,15,,Tyrone Willingham (5-7),,
21,2002,Ind,10,3,0,0.769,,,,,10.89,5.51,,4,17,Tyrone Willingham (10-3),Gator Bowl-L,
22,2001,Ind,5,6,0,0.455,,,,,6,6.55,18,17,,Bob Davie (5-6),,
23,2000,Ind,9,3,0,0.75,,,,,12.45,5.12,,10,15,Bob Davie (9-3),Fiesta Bowl-L,
24,1999,Ind,5,7,0,0.417,,,,,6.59,6.84,18,16,,Bob Davie (5-7),,
25,1998,Ind,9,3,0,0.75,,,,,11.16,3.66,22,9,22,Bob Davie (9-3),Gator Bowl-L,
26,1997,Ind,7,6,0,0.538,,,,,6.62,5.31,11,11,,Bob Davie (7-6),Independence Bowl-L,
27,1996,Ind,8,3,0,0.727,,,,,16.07,4.16,6,5,19,Lou Holtz (8-3),,
28,1995,Ind,9,3,0,0.75,,,,,17.7,8.28,9,6,11,Lou Holtz (9-3),Orange Bowl-L,
29,1994,Ind,6,5,1,0.542,,,,,11.28,7.37,2,2,,Lou Holtz (6-5-1),Fiesta Bowl-L,
30,1993,Ind,11,1,0,0.917,,,,,21.24,6.07,7,1,2,Lou Holtz (11-1),Cotton Bowl-W,
31,1992,Ind,10,1,1,0.875,,,,,20.29,4.71,3,3,4,Lou Holtz (10-1-1),Cotton Bowl-W,
32,1991,Ind,10,3,0,0.769,,,,,16.47,6.24,6,5,13,Lou Holtz (10-3),Sugar Bowl-W,
33,1990,Ind,9,3,0,0.75,,,,,17.07,9.23,2,1,6,Lou Holtz (9-3),Orange Bowl-L,
34,1989,Ind,12,1,0,0.923,,,,,21.34,7.96,2,1,2,Lou Holtz (12-1),Orange Bowl-W,
35,1988,Ind,12,0,0,1,,,,,24.35,7.68,13,1,1,Lou Holtz (12-0),Fiesta Bowl-W,
36,1987,Ind,8,4,0,0.667,,,,,15.25,7.75,18,4,17,Lou Holtz (8-4),Cotton Bowl-L,
37,1986,Ind,5,6,0,0.455,,,,,11.44,7.35,,20,,Lou Holtz (5-6),,
38,1985,Ind,5,6,0,0.455,,,,,11.65,10.38,14,13,,Gerry Faust (5-6),,
39,1984,Ind,7,5,0,0.583,,,,,8.9,5.9,8,7,,Gerry Faust (7-5),Aloha Bowl-L,
40,1983,Ind,7,5,0,0.583,,,,,11.53,3.87,6,4,,Gerry Faust (7-5),Liberty Bowl-W,
41,1982,Ind,6,4,1,0.591,,,,,12.58,9.76,18,9,,Gerry Faust (6-4-1),,
42,1981,Ind,5,6,0,0.455,,,,,10.64,7.46,3,1,,Gerry Faust (5-6),,
43,1980,Ind,9,2,1,0.792,,,,,18.29,8.71,11,1,9,Dan Devine (9-2-1),Sugar Bowl-L,
44,1979,Ind,7,4,0,0.636,,,,,12.97,8.15,9,5,,Dan Devine (7-4),,
45,1978,Ind,9,3,0,0.75,,,,,19.72,11.47,5,5,7,Dan Devine (9-3),Cotton Bowl-W,
46,1977,Ind,11,1,0,0.917,,,,,26.18,9.93,3,1,1,Dan Devine (11-1),Cotton Bowl-W,
